"Age","Gender","Count","Percentage"
14,"Male",29,58
14,"Female",21,42
15,"Male",8490,50.7
15,"Female",8248,49.3
16,"Male",8709,50.1
16,"Female",8682,49.9
17,"Male",9858,50.8
17,"Female",9559,49.2
18,"Male",13209,50.3
18,"Female",13068,49.7
19,"Male",10914,50.6
19,"Female",10649,49.4
20,"Male",13980,50.4
20,"Female",13772,49.6
21,"Male",7596,49.6
21,"Female",7728,50.4
22,"Male",8417,49.7
22,"Female",8534,50.3
23,"Male",5636,50
23,"Female",5630,50
24,"Male",5397,49.8
24,"Female",5436,50.2
25,"Male",4402,49.7
25,"Female",4452,50.3
26,"Male",2830,49.2
26,"Female",2920,50.8
27,"Male",2196,49.3
27,"Female",2262,50.7
28,"Male",1754,49
28,"Female",1829,51
29,"Male",974,51.2
29,"Female",930,48.8
30,"Male",883,47.1
30,"Female",992,52.9
31,"Male",334,48.3
31,"Female",357,51.7
32,"Male",346,48.6
32,"Female",366,51.4
33,"Male",223,48.4
33,"Female",238,51.6
34,"Male",156,48.3
34,"Female",167,51.7
35,"Male",116,52.7
35,"Female",104,47.3
36,"Male",40,45.5
36,"Female",48,54.5
37,"Male",42,52.5
37,"Female",38,47.5
38,"Male",21,46.7
38,"Female",24,53.3
39,"Male",19,46.3
39,"Female",22,53.7
40,"Male",22,51.2
40,"Female",21,48.8
41,"Male",8,53.3
41,"Female",7,46.7
45,"Male",1,25
45,"Female",3,75
