"age_marriage","number_of_records","total_weight"
14,50,48649.2141881046
15,16738,16082426.2189318
16,17391,16663404.5616754
17,19417,18504505.5261731
18,26277,25585494.1056833
19,21563,20401362.0490556
20,27752,26467888.9845289
21,15324,14647968.3702431
22,16951,16894173.2417482
23,11266,11235355.1840838
24,10833,10582387.0731703
25,8854,8821809.08347433
26,5750,5879356.62262489
27,4458,4602958.35241968
28,3583,3548045.83527919
29,1904,1897731.30795422
30,1875,1798880.11633897
31,691,647350.082312034
32,712,714627.431019538
33,461,469888.149678958
34,323,307418.037985047
35,220,216838.129587109
36,88,92697.8267242468
37,80,71821.8928668414
38,45,44687.0387397134
39,41,39500.3802582384
40,43,66928.0817307373
41,15,10637.0633153728
45,4,2944.60700861958
